"ID";"StatusVanBewoning";"RegioS";"Perioden";"TotaleWoningvoorraad_1";"Koopwoningen_2";"TotaalHuurwoningen_3";"EigendomWoningcorporatie_4";"EigendomOverigeVerhuurders_5";"EigendomOnbekend_6"
"574";"T001235";"GM1680";"2016JJ00";"   11131";"    7916";"    3045";"    1967";"    1078";"     170"
"575";"T001235";"GM1680";"2017JJ00";"   11145";"    7880";"    3092";"    1964";"    1128";"     173"
"576";"T001235";"GM1680";"2018JJ00";"   11165";"    8157";"    2839";"    1969";"     870";"     169"
"577";"T001235";"GM1680";"2019JJ00";"   11257";"    8342";"    2898";"    2224";"     674";"      17"
"578";"T001235";"GM1680";"2020JJ00";"   11179";"    8338";"    2833";"    2218";"     615";"       8"
"579";"T001235";"GM1680";"2021JJ00";"   11207";"    8378";"    2829";"    2213";"     616";"       0"
"584";"T001235";"GM0738";"2016JJ00";"    5031";"    3611";"    1407";"     939";"     468";"      13"
"585";"T001235";"GM0738";"2017JJ00";"    5071";"    3629";"    1434";"     927";"     507";"       8"
"586";"T001235";"GM0738";"2018JJ00";"    5109";"    3701";"    1375";"     943";"     432";"      33"
"587";"T001235";"GM0738";"2019JJ00";"";"";"";"";"";""
"588";"T001235";"GM0738";"2020JJ00";"";"";"";"";"";""
"589";"T001235";"GM0738";"2021JJ00";"";"";"";"";"";""
"594";"T001235";"GM0358";"2016JJ00";"   12893";"    8144";"    4500";"    3135";"    1365";"     249"
"595";"T001235";"GM0358";"2017JJ00";"   12919";"    8158";"    4516";"    3134";"    1382";"     245"
"596";"T001235";"GM0358";"2018JJ00";"   12888";"    8262";"    4382";"    3092";"    1290";"     244"
"597";"T001235";"GM0358";"2019JJ00";"   13091";"    8458";"    4629";"    3108";"    1521";"       4"
"598";"T001235";"GM0358";"2020JJ00";"   13217";"    8557";"    4654";"    3114";"    1540";"       6"
"599";"T001235";"GM0358";"2021JJ00";"   13284";"    8600";"    4680";"    3149";"    1531";"       4"
"604";"T001235";"GM0197";"2016JJ00";"   11811";"    8204";"    3416";"    2288";"    1128";"     191"
"605";"T001235";"GM0197";"2017JJ00";"   11872";"    8262";"    3418";"    2282";"    1136";"     192"
"606";"T001235";"GM0197";"2018JJ00";"   11922";"    8318";"    3424";"    2303";"    1121";"     180"
"607";"T001235";"GM0197";"2019JJ00";"   11971";"    8476";"    3476";"    2298";"    1178";"      19"
"608";"T001235";"GM0197";"2020JJ00";"   11976";"    8510";"    3427";"    2315";"    1112";"      39"
"609";"T001235";"GM0197";"2021JJ00";"   12028";"    8597";"    3411";"    2307";"    1104";"      20"
"614";"T001235";"GM0059";"2016JJ00";"   11946";"    7571";"    4195";"    3499";"     696";"     180"
"615";"T001235";"GM0059";"2017JJ00";"   12028";"    7551";"    4293";"    3538";"     755";"     184"
"616";"T001235";"GM0059";"2018JJ00";"   12075";"    7714";"    4166";"    3602";"     564";"     195"
"617";"T001235";"GM0059";"2019JJ00";"   12118";"    7757";"    4344";"    3772";"     572";"      17"
"618";"T001235";"GM0059";"2020JJ00";"   12129";"    7734";"    4388";"    3751";"     637";"       7"
"619";"T001235";"GM0059";"2021JJ00";"   12181";"    7755";"    4423";"    3754";"     669";"       3"
"624";"T001235";"GM0482";"2016JJ00";"    8220";"    4943";"    3243";"    2734";"     509";"      34"
"625";"T001235";"GM0482";"2017JJ00";"    8252";"    4920";"    3328";"    2753";"     575";"       4"
"626";"T001235";"GM0482";"2018JJ00";"    8276";"    5011";"    3255";"    2757";"     498";"      10"
"627";"T001235";"GM0482";"2019JJ00";"    8324";"    5104";"    3211";"    2752";"     459";"       9"
"628";"T001235";"GM0482";"2020JJ00";"    8353";"    5096";"    3246";"    2755";"     491";"      11"
"629";"T001235";"GM0482";"2021JJ00";"    8408";"    5132";"    3244";"    2754";"     490";"      32"
"634";"T001235";"GM0613";"2016JJ00";"   10208";"    6867";"    3255";"    2653";"     602";"      86"
"635";"T001235";"GM0613";"2017JJ00";"   10286";"    6923";"    3275";"    2656";"     619";"      88"
"636";"T001235";"GM0613";"2018JJ00";"   10333";"    7022";"    3222";"    2651";"     571";"      89"
"637";"T001235";"GM0613";"2019JJ00";"   10347";"    7133";"    3205";"    2702";"     503";"       9"
"638";"T001235";"GM0613";"2020JJ00";"   10517";"    7270";"    3205";"    2694";"     511";"      42"
"639";"T001235";"GM0613";"2021JJ00";"   10573";"    7331";"    3210";"    2694";"     516";"      32"
"644";"T001235";"GM0361";"2016JJ00";"   50346";"   29049";"   20566";"   15115";"    5451";"     731"
"645";"T001235";"GM0361";"2017JJ00";"   50513";"   28983";"   20856";"   15063";"    5793";"     674"
"646";"T001235";"GM0361";"2018JJ00";"   50830";"   29487";"   20716";"   15099";"    5617";"     627"
"647";"T001235";"GM0361";"2019JJ00";"   51127";"   30071";"   21008";"   15170";"    5838";"      48"
"648";"T001235";"GM0361";"2020JJ00";"   51339";"   30043";"   21242";"   15248";"    5994";"      54"
"649";"T001235";"GM0361";"2021JJ00";"   51656";"   30131";"   21491";"   14907";"    6584";"      34"
"654";"T001235";"GM0141";"2016JJ00";"   32417";"   17702";"   14477";"   11575";"    2902";"     238"
"655";"T001235";"GM0141";"2017JJ00";"   32859";"   17564";"   15121";"   11699";"    3422";"     174"
"656";"T001235";"GM0141";"2018JJ00";"   32988";"   17933";"   14885";"   11661";"    3224";"     170"
"657";"T001235";"GM0141";"2019JJ00";"   33472";"   18308";"   15129";"   11699";"    3430";"      35"
"658";"T001235";"GM0141";"2020JJ00";"   33549";"   18312";"   15194";"   11641";"    3553";"      43"
"659";"T001235";"GM0141";"2021JJ00";"   33827";"   18311";"   15493";"   11678";"    3815";"      23"
"664";"T001235";"GM0034";"2016JJ00";"   79721";"   50834";"   28724";"   21785";"    6939";"     163"
"665";"T001235";"GM0034";"2017JJ00";"   80582";"   51333";"   29088";"   21827";"    7261";"     161"
"666";"T001235";"GM0034";"2018JJ00";"   82312";"   52076";"   29997";"   21855";"    8142";"     239"
"667";"T001235";"GM0034";"2019JJ00";"   84161";"   54028";"   29962";"   22978";"    6984";"     171"
"668";"T001235";"GM0034";"2020JJ00";"   85977";"   54906";"   30895";"   23334";"    7561";"     176"
"669";"T001235";"GM0034";"2021JJ00";"   87259";"   55472";"   31723";"   23514";"    8209";"      64"
"674";"T001235";"GM0484";"2016JJ00";"   45968";"   28960";"   16812";"   12400";"    4412";"     196"
"675";"T001235";"GM0484";"2017JJ00";"   46723";"   29236";"   17208";"   12508";"    4700";"     279"
"676";"T001235";"GM0484";"2018JJ00";"   47099";"   29656";"   17242";"   12484";"    4758";"     201"
"677";"T001235";"GM0484";"2019JJ00";"   47753";"   30388";"   17328";"   12519";"    4809";"      37"
"678";"T001235";"GM0484";"2020JJ00";"   48178";"   30521";"   17612";"   12628";"    4984";"      45"
"679";"T001235";"GM0484";"2021JJ00";"   48893";"   30912";"   17970";"   12694";"    5276";"      11"
"684";"T001235";"GM1723";"2016JJ00";"    4214";"    3174";"     995";"     574";"     421";"      45"
"685";"T001235";"GM1723";"2017JJ00";"    4254";"    3192";"    1010";"     573";"     437";"      52"
"686";"T001235";"GM1723";"2018JJ00";"    4280";"    3251";"     990";"     573";"     417";"      39"
"687";"T001235";"GM1723";"2019JJ00";"    4342";"    3309";"    1028";"     594";"     434";"       5"
"688";"T001235";"GM1723";"2020JJ00";"    4371";"    3324";"    1036";"     590";"     446";"      11"
"689";"T001235";"GM1723";"2021JJ00";"    4432";"    3345";"    1077";"     588";"     489";"      10"
"694";"T001235";"GM1959";"2016JJ00";"";"";"";"";"";""
"695";"T001235";"GM1959";"2017JJ00";"";"";"";"";"";""
"696";"T001235";"GM1959";"2018JJ00";"";"";"";"";"";""
"697";"T001235";"GM1959";"2019JJ00";"   22221";"   15214";"    6905";"    5519";"    1386";"     102"
"698";"T001235";"GM1959";"2020JJ00";"   22399";"   15357";"    6956";"    5519";"    1437";"      86"
"699";"T001235";"GM1959";"2021JJ00";"   22587";"   15536";"    7038";"    5513";"    1525";"      13"
"704";"T001235";"GM0060";"2016JJ00";"    1674";"    1103";"     474";"       0";"     474";"      97"
"705";"T001235";"GM0060";"2017JJ00";"    1686";"    1086";"     499";"       0";"     499";"     101"
"706";"T001235";"GM0060";"2018JJ00";"    1712";"    1114";"     492";"       0";"     492";"     106"
"707";"T001235";"GM0060";"2019JJ00";"    1731";"    1183";"     529";"       0";"     529";"      19"
