"ID";"Geslacht";"RegioS";"Perioden";"BevolkingOp1Januari_1";"Bevolkingsdichtheid_2";"LevendGeborenKinderen_3";"LevendGeborenKinderenRelatief_4";"Overledenen_5";"OverledenenRelatief_6";"Geboorteoverschot_7";"TotaalVestiging_8";"TotaalVestigingRelatief_9";"Immigratie_10";"UitAndereGemeente_11";"TotaalVertrekInclusiefCorrecties_12";"TotaalVertrekInclusiefCoRelatief_13";"EmigratieInclusiefAdministratieveC_14";"SaldoAdministratieveCorrecties_15";"NaarAndereGemeente_16";"VestigingsoverschotInclusiefCorrecties_17";"TotaleGroei_18";"TotaleGroeiRelatief_19";"BevolkingOp31December_20"
"3533";"T001038";"GM1680";"2016JJ00";"   25243";"      91";"     136";"     5.4";"     274";"    10.8";"    -138";"    1457";"    57.7";"      83";"    1374";"    1280";"    50.7";"      92";"      -4";"    1188";"     177";"      43";"     1.7";"   25286"
"3534";"T001038";"GM1680";"2017JJ00";"   25286";"      92";"     164";"     6.5";"     265";"    10.5";"    -101";"    1682";"    66.4";"      90";"    1592";"    1472";"    58.1";"      79";"     -13";"    1393";"     210";"     104";"     4.1";"   25390"
"3535";"T001038";"GM1680";"2018JJ00";"   25390";"      92";"     162";"     6.4";"     283";"    11.1";"    -121";"    1501";"    59.1";"      87";"    1414";"    1384";"    54.5";"      81";"      -9";"    1303";"     117";"      -4";"    -0.2";"   25386"
"3536";"T001038";"GM1680";"2019JJ00";"   25386";"      92";"     176";"     6.9";"     280";"    11.0";"    -104";"    1512";"    59.5";"     101";"    1411";"    1349";"    53.1";"      44";"       4";"    1305";"     163";"      59";"     2.3";"   25445"
"3537";"T001038";"GM1680";"2020JJ00";"   25445";"      92";"     167";"     6.6";"     274";"    10.8";"    -107";"    1520";"    59.8";"      55";"    1465";"    1459";"    57.4";"      64";"     -12";"    1395";"      61";"     -46";"    -1.8";"   25399"
"3594";"T001038";"GM1000";"2016JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3595";"T001038";"GM1000";"2017JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3596";"T001038";"GM1000";"2018JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3597";"T001038";"GM1000";"2019JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3598";"T001038";"GM1000";"2020JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
